,PKey,avg_rad,cf_cvg,centroid
190,133,5.3711720613866065,10.0,[79.6042089  13.17828574]
191,133,5.679674795881877,11.161486322324699,[80.08929915 13.41633975]
192,133,5.291277209241192,10.54791303824455,[82.28568    16.74010576]
193,133,6.963761575975352,10.098394060084136,[82.20932325 16.74010542]
194,134,12.508725324831648,11.678003764745302,[74.8835621  34.02818532]
195,134,5.932099940795317,12.0,[74.7667811  34.02369776]
196,201,2.4245619771678935,5.694899743790991,[76.37925705 32.18663643]
197,201,3.032431586435272,6.336337136077706,[76.31637495 32.2225681 ]
199,202,7.580975109283875,6.077494712926814,[75.39111025 31.38264478]
200,202,2.584163560220492,5.996890700687824,[75.7639111  31.22543974]
201,202,4.039755048703482,6.5140394459991615,[75.34619445 31.43654398]
202,203,5.332962842650627,8.047455839142994,[75.3417029  31.32425492]
203,203,5.543882541579411,9.744972572333577,[75.701029   31.27035748]
204,203,7.808432502211719,8.196345381647062,[75.436026   31.45450971]
205,203,4.660944314118915,7.232327539687518,[75.19348085 31.21645657]
206,203,3.346718562693745,9.204141031540088,[75.44051755 31.36018658]
207,203,3.636666188931273,10.343334474085578,[75.51687435 31.61620641]
208,203,5.959988655944953,6.951569983321667,[75.3372113  31.51289994]
209,203,5.6241890661468394,8.923962942224554,[79.55929315 30.56517885]
210,203,3.312589106867793,9.197975291488538,[79.21344175 30.26424198]
211,203,1.864173649212136,7.97055606450399,[79.31225645 30.40797238]
213,205,8.005898165441405,3.0175711769971962,[77.03053565 30.35407348]
214,205,6.353700676304614,4.902970446131644,[77.0350272  30.26424237]
215,205,4.4242636706309035,4.112482412544605,[76.9721451 30.3046663]
216,205,6.259153321282104,4.482083444604853,[77.02604405 30.45288857]
217,206,3.4499593071025068,8.35169690395533,[76.91375465 30.43043049]
218,206,3.459877949377988,7.391971605829425,[77.03951875 30.22381799]
219,206,3.342057444518441,8.562337906825134,[76.8059568  30.36306388]
220,206,2.9642972409992216,9.0,[76.85087255 30.26424111]
221,206,5.438769564030721,7.689461253686392,[77.20121555 30.51577023]
222,206,3.4921677946242493,6.234113423629954,[77.1248587  30.48432922]
223,206,6.934838153736969,6.8473388035074025,[77.2057071  28.72362279]
224,206,4.159943423439083,7.609808313725494,[74.3041487  29.60847366]
225,206,9.563696595672752,9.97160029947001,[73.87744895 29.4018609 ]
226,206,11.224173485061504,8.929150125662952,[73.89990685 29.38389336]
227,207,36.22821630937665,9.260777491996967,[74.4613539 29.7926261]
228,208,2.8722585010794877,7.536167137657925,[75.16203985 29.10541529]
229,208,2.8213564095963157,7.515317793464094,[74.3984718  29.26711215]
230,208,3.362876589750007,7.97306656734637,[74.77127265 29.19075523]
231,208,6.007802495404946,7.672964276750606,[74.07058675 29.48720049]
232,208,7.564658794401301,9.145265192156865,[77.69079735 29.32550246]
233,208,4.58412283510534,6.825052063561718,[77.8345278  29.66237106]
234,208,7.815452548201993,10.18084890053262,[77.45723535 29.56804761]
235,208,3.722538826597179,8.808387985508006,[77.20121555 29.39736736]
236,209,1.4283685640768051,4.265896859028251,[77.73122155 29.44227348]
237,209,2.8045645716713348,6.637806059072806,[77.6818142  29.57703076]
238,209,1.2927650080810267,8.297328364592072,[77.41681115 29.28507829]
239,209,10.44793371407937,8.828260520371456,[77.3045218  29.45126789]
240,209,5.625630933281134,5.806433825759182,[77.99173295 29.27160378]
241,209,1.944399478437753,5.62825965838652,[77.94232565 29.29406186]
242,209,5.332483300916,8.577557227308496,[77.9288509  29.51414889]
243,209,9.278050993715302,8.118026543595509,[77.74020465 29.37490979]
244,209,7.139578636108584,7.0076024671627,[77.4302859  29.62194651]
245,209,3.3885769752380113,7.282188406029911,[77.25511445 29.42880879]
246,209,2.2364696588479758,6.0,[77.58749105 29.55008149]
247,209,3.7865121724966166,4.8824982293329295,[77.26409755 29.32999409]
248,209,3.658107657765664,7.032811227763013,[77.21469025 29.52313181]
249,209,3.8930561607928733,9.210261082352943,[77.22816495 29.33448583]
250,209,4.358548814958883,6.543353225000066,[77.4752017  29.29406306]
251,209,3.5946167236914075,9.065686855701799,[77.8524941  29.33448689]
252,209,2.2224135267463425,8.437984359924599,[77.72672995 29.28058693]
253,209,1.4498945630410462,8.39883762255766,[84.8458786  26.98988234]
254,209,4.720029122164933,6.435344927980876,[84.90876065 26.65301487]
255,209,4.1613939220243985,5.578365373288963,[92.8813088  24.36680211]
256,209,8.6065464629511,6.8354444465149315,[91.45747905 23.25289136]
257,210,3.6650284222826883,3.3006174882659973,[91.4350212  23.50441952]
258,210,4.9400588927804465,5.599777489612006,[91.4889201  23.54035212]
259,215,3.62854046319899,12.0,[90.60407955 25.5301204 ]
260,216,6.29204115764598,12.93965365792433,[90.59509645 25.5121541 ]
261,216,11.511174912770826,12.290175633861875,[89.3778792  26.85962735]
262,216,5.459842408376736,12.162868663734253,[88.7086343  26.53623252]
263,217,2.8202201354733045,10.409065160784316,[88.63676905 26.54970842]
264,217,4.275354718522172,11.06413854117651,[89.52160965 26.4913174 ]
265,219,6.92630672631179,10.687609637747912,[89.00507835 26.5901325 ]
266,219,5.991819590264501,10.400947718732224,[88.74007535 26.86860998]
267,219,2.248243269989971,9.750472862131163,[89.06346885 26.72487953]
268,219,4.387165619413051,9.191298335145875,[88.4301566  26.72038264]
269,219,3.6348449452662486,11.0,[89.44525285 26.83716932]
270,219,2.9634820589082103,8.490912458718622,[88.46608915 26.6619977 ]
271,219,3.4359403306594136,7.535999534165307,[89.45872755 26.49580931]
272,219,7.342453124197827,8.706869803607551,[85.0120669  23.85476236]
273,219,6.494945191329415,10.899485674586524,[85.0075753  23.69306617]
274,219,3.9038357633605214,7.552687963702205,[85.02554165 23.73349131]
275,219,1.829743779151842,9.915552744395264,[83.8667149  21.70329752]
276,220,0.24005594538171052,8.933636603680016,[83.9430717  21.82460398]
277,220,3.8022400731184636,8.68491851418042,[84.0598527  21.89194381]
278,220,5.763447805206391,8.086020904903075,[84.09129375 21.89643487]
279,221,2.3971058539433545,9.0,[83.91612225 21.67185626]
280,221,6.3761195269728885,8.724678824695602,[82.9998407  23.37416449]
282,221,1.806747788378211,9.0,[82.72585455 23.15407665]
283,221,10.061733986248427,8.976560015058682,[82.87407655 23.22144987]
