system:index,PKey,nl_intensity,geometry
997,1506.0,"{avg_rad=5.18105534869405, cf_cvg=8.904804932315354}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.87333045000129,28.7056808124238]}"
3627,608.0,"{avg_rad=8.389696000652526, cf_cvg=8.18515678130112}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.83290625000079,28.153203670141917]}"
1279,1706.0,"{avg_rad=4.699085007729429, cf_cvg=8.432266103753634}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.58137794999732,28.144207087606013]}"
839,1406.0,"{avg_rad=7.764459154339821, cf_cvg=9.05277379389521}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.59934425000155,28.894329944174515]}"
3619,606.0,"{avg_rad=5.484274259820961, cf_cvg=8.11415749888213}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.96316199999876,29.716259080952103]}"
2752,306.0,"{avg_rad=6.269792386613233, cf_cvg=5.705923316562091}","{""geodesic"":true,""type"":""Point"",""coordinates"":[77.27757230000034,30.142966935702336]}"
161,106.0,"{avg_rad=8.31651286950647, cf_cvg=6.541056146987107}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.87782200000404,30.726854669260014]}"
1793,206.0,"{avg_rad=6.934838153736969, cf_cvg=6.8473388035074025}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.80595680000167,30.363063876196982]}"
157,104.0,"{avg_rad=18.625075707693423, cf_cvg=5.454242996947594}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.77002420000048,30.73137197096596]}"
1408,1803.0,"{avg_rad=3.095705350360899, cf_cvg=5.473991882946558}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.76104104999852,30.807732210006957]}"
4216,902.0,"{avg_rad=5.664995748681858, cf_cvg=5.203861670238664}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.79697364999971,30.955949783663772]}"
3863,703.0,"{avg_rad=4.7875924650101425, cf_cvg=8.596529281842203}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.24450975000173,30.699938824595577]}"
3599,603.0,"{avg_rad=5.54418856431648, cf_cvg=8.659745936134357}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.2759507500009,30.65951133345058]}"
833,1403.0,"{avg_rad=7.77407231940033, cf_cvg=7.59005435482872}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.39273175000012,30.349604240652646]}"
363,1203.0,"{avg_rad=4.017702475511944, cf_cvg=9.574929181270157}","{""geodesic"":true,""type"":""Point"",""coordinates"":[75.00483464999998,30.219360605855247]}"
212,1106.0,"{avg_rad=7.497210021918087, cf_cvg=9.474208962307003}","{""geodesic"":true,""type"":""Point"",""coordinates"":[75.03627564999911,29.541097653482687]}"
393,1206.0,"{avg_rad=5.675448033209021, cf_cvg=10.271084164183064}","{""geodesic"":true,""type"":""Point"",""coordinates"":[75.77289419999926,29.150351531331303]}"
